x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,horizontal,vertical,clockwise circle,counterclockwise circle,nothing
12,0,10,0,9,0,8,0,8,0,6,0,4,-1,3,-4,-4,0,-6,0,-8,-1,-9,0,-11,1,-12,2,-14,3,1,0,0,0,0
-15,0,-13,1,-12,1,-11,0,-9,0,-8,0,-4,0,4,0,7,-1,9,0,10,0,11,0,12,0,13,0,12,0,1,0,0,0,0
22,-2,18,-1,16,1,15,0,13,0,11,-2,9,-1,-3,-1,-4,-1,-6,0,-10,0,-16,1,-19,1,-21,-1,-22,-1,1,0,0,0,0
13,-1,10,0,9,0,8,0,3,0,2,1,0,1,-1,0,-2,0,-2,0,-2,0,-6,0,-8,0,-9,0,-12,1,1,0,0,0,0
39,3,30,1,25,1,19,0,15,0,11,-1,7,-1,1,-1,-13,0,-16,0,-19,-1,-21,-2,-25,-1,-25,-1,-25,-1,1,0,0,0,0
-35,-8,-32,-5,-28,-3,-23,-3,-21,-3,-13,-1,-10,0,-4,1,0,1,13,2,22,3,26,4,28,4,33,6,40,6,1,0,0,0,0
10,0,8,0,8,0,7,0,7,-1,4,0,3,0,2,0,-3,0,-4,1,-6,1,-7,0,-8,0,-8,0,-8,0,1,0,0,0,0
24,0,17,-1,14,-1,12,-1,11,-1,6,1,1,-1,-2,0,-6,0,-8,0,-11,-1,-13,0,-15,0,-16,0,-17,0,1,0,0,0,0
-43,-2,-37,0,-34,1,-25,-1,-14,-6,-11,-1,-5,-3,-1,0,12,1,20,0,21,1,25,3,29,2,31,3,33,2,1,0,0,0,0
-17,-2,-16,-2,-16,-3,-12,-2,-9,-2,-4,-1,-2,-1,0,-1,5,-1,7,1,9,2,13,2,15,1,17,3,19,3,1,0,0,0,0
-43,-3,-39,-3,-28,1,-25,-6,-20,0,-14,2,-11,3,-2,1,9,-4,12,1,18,-1,22,2,35,3,43,2,44,3,1,0,0,0,0
15,0,14,0,11,0,10,0,8,-1,6,-1,4,-2,0,1,-2,1,-3,2,-7,0,-11,0,-12,2,-18,2,-19,2,1,0,0,0,0
-25,-3,-23,-3,-21,-3,-19,-3,-17,-2,-12,-2,-8,-3,-5,-1,7,0,11,2,14,1,20,2,24,1,30,5,33,6,1,0,0,0,0
-15,-1,-14,0,-12,-1,-8,0,-6,0,-6,0,-4,-1,0,0,1,0,3,0,6,0,8,0,12,1,15,1,18,1,1,0,0,0,0
16,-3,15,-2,13,-2,9,-1,8,-1,4,-1,3,-1,0,-1,-4,0,-6,2,-7,1,-9,1,-11,-1,-13,0,-25,0,1,0,0,0,0
-15,-1,-13,-1,-10,-1,-8,0,-3,1,-1,0,0,0,1,1,2,0,2,0,5,0,6,2,9,0,14,0,16,0,1,0,0,0,0
27,1,26,0,25,1,18,4,15,3,15,3,11,3,8,0,-1,1,-11,2,-15,-2,-19,-2,-25,-3,-29,-1,-38,-4,1,0,0,0,0
17,4,14,4,12,3,10,3,7,1,3,0,2,-1,1,-1,0,-2,-5,-2,-6,0,-8,-2,-12,4,-16,-2,-17,-2,1,0,0,0,0
-15,-2,-9,1,-8,0,-6,0,-5,0,-5,0,-4,0,1,1,6,1,7,1,7,1,8,2,9,-1,10,1,11,1,1,0,0,0,0
43,3,42,4,36,2,20,-1,15,-3,12,-1,1,0,-4,1,-7,1,-12,0,-15,-4,-25,-1,-31,1,-36,-2,-40,-3,1,0,0,0,0
-15,0,-13,-1,-11,-1,-7,-1,-6,-3,-5,-2,-3,-2,-1,-2,0,-2,6,1,7,1,7,3,9,2,14,1,15,1,1,0,0,0,0
-32,2,-31,0,-28,-2,-24,-3,-15,-6,-10,-4,-5,-3,0,-4,4,-2,10,-1,14,0,19,1,32,5,34,6,36,7,1,0,0,0,0
-10,2,-9,2,-8,0,-7,0,-5,-1,-4,-1,-3,0,-1,-1,0,0,2,-1,5,-2,8,0,9,0,10,0,11,0,1,0,0,0,0
9,0,8,0,8,1,4,2,3,2,2,1,2,0,1,1,-2,1,-3,1,-3,0,-7,1,-7,-1,-7,-1,-8,-1,1,0,0,0,0
22,0,18,0,12,1,9,1,7,-1,6,-1,4,0,3,1,0,0,-9,-2,-10,-1,-12,-1,-14,0,-20,-1,-22,-1,1,0,0,0,0
23,1,21,0,14,-1,11,-1,9,-1,8,-1,3,1,-2,-1,-5,0,-9,0,-11,0,-14,-1,-16,0,-18,0,-19,0,1,0,0,0,0
-25,-1,-23,-1,-18,-1,-14,0,-12,-1,-10,1,-5,1,3,1,3,1,6,2,9,0,14,0,19,1,21,-2,26,0,1,0,0,0,0
31,6,28,5,26,4,24,5,18,3,14,3,11,2,2,0,-7,-2,-12,-2,-18,-3,-22,-3,-26,-4,-30,-4,-36,-4,1,0,0,0,0
13,3,12,3,9,2,9,2,8,1,6,0,3,0,0,0,-2,0,-4,0,-7,-1,-9,-2,-10,-1,-12,-1,-15,-1,1,0,0,0,0
